OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-06-08T03:50:39.960672,13.7661366,0.0025085,90.2237,71.5582,326.0477,129.771,0,U,900,999,7018,0.00060606018,6.04e-06,0.0
CALSPHERE 2,1964-063E,2026-06-08T05:49:38.059104,13.52899811,0.00166076,90.2378,75.5801,251.8811,231.5976,0,U,902,999,85505,3.830891400000001e-05,3.4e-07,0.0
LCS 1,1965-034C,2026-06-07T18:44:24.906912,9.89310607,0.00123761,32.1362,199.3633,88.6229,271.5686,0,U,1361,999,20895,-0.0016214737,-4e-08,0.0
TEMPSAT 1,1965-065E,2026-06-08T05:02:26.219616,13.3359358,0.00676185,89.9993,212.5929,273.9661,153.9017,0,U,1512,999,95885,3.6947431e-05,2.7e-07,0.0
CALSPHERE 4A,1965-065H,2026-06-08T03:41:54.407616,13.36276652,0.00714212,89.8976,122.5769,127.7636,244.7139,0,U,1520,999,96150,0.00025010723999999997,1.4e-06,0.0
OPS 5712 (P/L 160),1967-053A,2026-06-08T02:42:44.420832,14.77601992,9.531000000000001e-05,69.9171,60.5355,265.7864,94.3175,0,U,2826,999,6489,0.0011546254,8.199e-05,0.0
LES-5,1967-066E,2026-06-07T23:59:49.887744,1.09426319,0.00523953,2.6031,96.6034,213.9084,8.925,0,U,2866,999,13093,0.0,-9.8e-07,0.0
SURCAL 159,1967-053F,2026-06-08T00:14:53.746656,13.99600678,0.00051424,69.975,20.5903,145.4284,214.7159,0,U,2872,999,892,8.655256200000001e-05,7.3e-07,0.0
OPS 5712 (P/L 153),1967-053H,2026-06-08T05:51:02.837376,13.96827041,0.0008998200000000001,69.9721,134.4758,223.2205,136.8196,0,U,2874,999,554,5.646923100000001e-05,2.5e-07,0.0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-08T05:08:44.547072,14.37857284,0.0057569200000000004,87.6212,341.3029,262.4035,97.0622,0,U,5398,999,87259,0.00020518931,6.48e-06,0.0
OSCAR 7 (AO-7),1974-089B,2026-06-08T06:53:42.160128,12.53697919,0.00124858,101.9901,172.4409,146.7153,283.1449,0,U,7530,999,35940,4.1755049e-05,-4e-07,0.0
STARLETTE,1975-010A,2026-06-08T06:31:07.631040,13.8235042,0.0205567,49.8215,139.7877,33.5934,327.7801,0,U,7646,999,59330,8.918364e-06,-1.34e-06,0.0
LAGEOS 1,1976-039A,2026-06-07T16:08:08.808288,6.38664696,0.00446768,109.8024,176.0804,304.3031,39.5018,0,U,8820,999,91252,0.0,1.8e-07,0.0
PHASE 3B (AO-10),1983-058B,2026-06-07T04:08:14.383680,2.0587298,0.60142661,25.9048,221.2242,112.9115,319.2048,0,U,14129,999,29528,0.0,-1.94e-06,0.0
UOSAT 2 (UO-11),1984-021B,2026-06-08T03:50:30.664896,14.9076195,0.00068047,97.8053,124.8359,203.0845,157.0068,0,U,14781,999,25578,0.00013739785,1.295e-05,0.0
AJISAI (EGS),1986-061A,2026-06-08T07:23:49.761312,12.44516722,0.00112724,50.0061,174.6986,158.0777,300.4967,0,U,16908,999,47928,4.9599708e-05,-9e-07,0.0
TDRS 3,1988-091B,2026-06-08T00:41:55.381344,1.00277238,0.00384502,12.6091,341.0598,356.421,240.5148,0,U,19548,999,12529,0.0,-2.91e-06,0.0
COSMOS 1989 (ETALON 1),1989-001C,2026-06-07T14:25:19.335072,2.13156002,0.00233257,64.9401,72.5233,217.6034,311.2331,0,U,19751,999,29116,0.0,-1.3e-07,0.0
COSMOS 2024 (ETALON 2),1989-039C,2026-06-07T15:53:05.222400,2.13204604,0.00206541,64.9412,310.8636,212.556,159.0157,0,U,20026,999,28830,0.0,-2.9e-07,0.0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-07T22:34:43.609728,1.00282277,0.00046719999999999997,12.4242,351.2227,48.9299,320.3023,0,U,20253,999,26047,0.0,-3.5899999999999995e-06,0.0
LUSAT (LO-19),1990-005G,2026-06-08T01:00:50.703264,14.34120497,0.0010666900000000001,98.8852,180.5956,229.5628,130.4627,0,U,20442,999,90108,6.330018600000001e-05,1.3e-06,0.0
HST,1990-037B,2026-06-07T07:09:32.201568,15.30642118,0.0001938,28.4712,148.1547,44.7656,315.3096,0,U,20580,999,78705,0.00018954,6.0100000000000004e-05,0.0
SKYNET 4C,1990-079A,2026-06-08T03:49:38.792928,1.00273137,0.00026339,13.3433,349.8728,93.6167,263.8338,0,U,20776,999,13079,0.0,1.34e-06,0.0
TDRS 5,1991-054B,2026-06-08T05:44:27.760416,1.00271307,0.0006082500000000001,14.0724,353.8431,275.9585,265.2563,0,U,21639,999,12762,0.0,9.199999999999999e-07,0.0
LAGEOS 2,1992-070B,2026-06-04T12:03:15.111072,6.4729361,0.0137811,52.6594,274.6781,181.7671,222.9416,0,U,22195,999,79460,0.0,-9e-08,0.0
TDRS 6,1993-003B,2026-06-08T01:27:39.338208,1.0027472,0.00073839,14.1828,357.1295,178.8335,56.5769,0,U,22314,999,12231,0.0,-2.87e-06,0.0
SCD 1,1993-009B,2026-06-08T00:07:44.641056,14.46115906,0.0042087999999999995,24.9694,264.271,41.0648,119.5596,0,U,22490,999,75978,6.246388700000001e-05,4.139999999999999e-06,0.0
