time_tag,density,speed,temperature,Kp,a_running,station_count,bx_gsm,by_gsm,bz_gsm,lon_gsm,lat_gsm,bt,solar_storm_risk,space_weather_score
2026-06-07 13:14:00,0.85,560.6,116327,1.67,6,8,-3.42,3.45,-1.53,134.71,-17.47,5.09,0,27.395999999999997
2026-06-07 13:15:00,0.9400000000000001,554.2,109943,1.67,6,8,-3.42,3.45,-1.53,134.71,-17.47,5.09,0,27.332
2026-06-07 13:16:00,0.8,556.0,125935,1.67,6,8,-3.42,3.45,-1.53,134.71,-17.47,5.09,0,27.349999999999998
2026-06-07 13:17:00,0.91,540.9,115662,1.67,6,8,-3.42,3.45,-1.53,134.71,-17.47,5.09,0,27.198999999999998
2026-06-07 13:18:00,0.97,541.7,118567,1.67,6,8,-3.53,3.22,-1.67,137.64,-19.29,5.07,0,27.187
2026-06-07 13:19:00,1.28,533.5,106113,1.67,6,8,-3.24,3.27,-1.8,134.77,-21.31,4.94,0,26.975
2026-06-07 13:20:00,1.05,540.9,116174,1.67,6,8,-3.09,2.89,-2.68,136.87,-32.37,5.01,0,27.119
2026-06-07 13:21:00,0.9400000000000001,546.7,123142,1.67,6,8,-3.11,2.68,-2.73,139.22,-33.58,4.93,0,27.097
2026-06-07 13:24:00,0.97,544.4,127529,1.67,6,8,-3.05,2.62,-2.77,139.3,-34.58,4.88,0,27.023999999999997
2026-06-07 13:25:00,1.07,543.2,115391,1.67,6,8,-3.65,2.86,-1.03,141.86,-12.55,4.75,0,26.881999999999998
2026-06-07 13:26:00,1.34,540.0,102032,1.67,6,8,-3.32,2.38,2.4,144.3,30.44,4.74,0,26.840000000000003
2026-06-07 13:27:00,1.54,535.7,109754,1.67,6,8,-3.78,2.68,1.6,144.68,19.08,4.9,0,26.957
2026-06-07 13:28:00,1.45,532.1,109061,1.67,6,8,-3.78,2.68,1.6,144.68,19.08,4.9,0,26.921
2026-06-07 13:29:00,1.58,542.5,100710,1.67,6,8,-3.83,2.63,1.52,145.54,18.17,4.88,0,27.005
2026-06-07 13:30:00,1.57,542.3,100232,1.67,6,8,-3.83,2.63,1.52,145.54,18.17,4.88,0,27.002999999999997
2026-06-07 13:31:00,1.48,540.3,95712,2.0,7,8,-3.78,2.0,1.75,152.11,22.19,4.62,0,30.023
2026-06-07 13:32:00,1.09,548.4,138952,2.0,7,8,-4.1,2.16,0.95,152.22,11.55,4.73,0,30.214000000000002
2026-06-07 13:33:00,1.2,543.1,130197,2.0,7,8,-3.8,2.52,-0.31,146.49,-3.95,4.57,0,30.001
2026-06-07 13:34:00,1.2,553.1,135402,2.0,7,8,-1.97,1.87,-3.0,136.51,-47.84,4.05,0,29.581
2026-06-07 13:35:00,0.98,566.6,118670,2.0,7,8,-0.65,1.46,-4.16,114.05,-69.04,4.46,0,30.126
2026-06-07 13:36:00,0.91,573.1,127703,2.0,7,8,-0.12,0.92,-4.12,97.3,-77.31,4.22,0,29.951
2026-06-07 13:37:00,0.97,576.7,106685,2.0,7,8,-0.21,0.78,-4.36,105.33,-79.5,4.43,0,30.197
2026-06-07 13:38:00,1.0,576.6,103285,2.0,7,8,-0.32,1.35,-4.22,103.36,-71.75,4.44,0,30.206
2026-06-07 13:39:00,1.06,576.5,108283,2.0,7,8,-0.5,1.55,-4.12,107.74,-68.44,4.43,0,30.195
2026-06-07 13:40:00,0.93,578.2,118919,2.0,7,8,-0.43,1.39,-4.19,107.18,-70.9,4.43,0,30.212
2026-06-07 13:41:00,0.78,580.4,118822,2.0,7,8,-0.26,0.67,-4.54,111.3,-81.04,4.6,0,30.403999999999996
2026-06-07 13:42:00,0.86,580.7,103572,2.0,7,8,-0.37,1.46,-4.22,104.06,-70.4,4.48,0,30.287000000000003
2026-06-07 13:43:00,0.91,579.0,105447,2.0,7,8,-0.55,1.92,-4.09,106.08,-63.92,4.55,0,30.34
2026-06-07 13:44:00,0.9,580.0,111638,2.0,7,8,-0.75,2.18,-3.91,108.94,-59.46,4.54,0,30.34
2026-06-07 13:45:00,0.91,579.7,112033,2.0,7,8,-0.56,1.9,-4.0,106.49,-63.73,4.47,0,30.267
2026-06-07 13:46:00,0.97,577.7,114324,2.0,7,8,-0.51,1.39,-4.31,110.28,-70.99,4.56,0,30.337
